drawDate,lotteryType,province,DB,DB_head,DB_tail,specialCodes,G1,G2,G3,G4,G5,G6,G7
2020-05-08,XSMB,"Hà Nội",67241,67,41,3GR|14GR|9GR,56017,77028|65457,26855|69459|76907|87154|23957|26148,3704|5913|9223|6079,1874|5668|0874|2328|1610|0403,959|645|907,42|67|86|95
2020-05-09,XSMB,"Hà Nội",71770,71,70,12GQ|2GQ|1GQ,50898,69799|71237,12261|44048|73695|84738|97203|98825,6500|8904|4834|2713,1105|9125|3703|2722|7922|5158,619|341|844,75|25|85|02
2020-05-10,XSMB,"Hà Nội",32765,32,65,12GP|14GP|10GP,48805,42980|16309,87948|70554|13051|51276|90746|10216,0842|6602|4374|7202,6489|2609|1034|3280|6116|7370,552|436|594,22|80|59|44
2020-05-11,XSMB,"Hà Nội",02419,02,19,12GN|8GN|2GN,49825,45280|80176,84866|75055|75764|45699|77394|35548,1792|6805|0668|6836,5381|5016|1500|1149|6339|5095,565|665|553,97|43|73|95
2020-05-12,XSMB,"Hà Nội",35009,35,09,15GM|6GM|10GM,75293,07897|24629,45761|94542|45024|59952|56580|03576,1844|3712|9142|7518,7961|9046|5468|7500|0685|5133,625|327|388,33|22|62|35
2020-05-13,XSMB,"Hà Nội",12795,12,95,2GL|6GL|5GL,32463,24668|25372,75964|45237|38626|00003|41720|85085,8388|8121|7911|0777,6942|2572|2421|6702|6781|8688,533|448|055,50|63|39|17
2020-05-14,XSMB,"Hà Nội",33963,33,63,10GK|9GK|7GK,33143,86475|79746,67807|50445|33683|41171|13165|76267,1077|2371|7174|6672,8793|4445|4104|7446|3328|1742,981|178|124,15|44|90|12
2020-05-15,XSMB,"Hà Nội",41795,41,95,6GH|3GH|1GH,53938,34631|73859,29808|84717|38740|23469|96333|87101,4712|9547|8931|9008,3878|6707|6341|6761|9595|7341,237|407|256,93|79|22|73
2020-05-16,XSMB,"Hà Nội",75146,75,46,5GF|12GF|13GF,18878,63961|81730,97775|73665|34335|86636|45951|42875,7071|0913|4908|6892,3830|8979|4445|4572|8628|1582,111|951|928,24|44|23|52
2020-05-17,XSMB,"Hà Nội",76380,76,80,14GE|12GE|2GE,11164,70535|58134,87785|84883|78581|63347|43693|26134,9954|8580|4697|6540,3623|2435|0372|3115|6776|0123,418|596|787,30|40|88|38
2020-05-18,XSMB,"Hà Nội",44554,44,54,13GD|12GD|11GD,74463,80449|42949,39368|74616|14611|63584|38434|15642,1576|9267|0811|2015,2352|9390|8542|7674|4196|9916,483|010|779,35|03|46|42
2020-05-19,XSMB,"Hà Nội",96600,96,00,15GC|6GC|2GC,55015,27792|07534,34490|65055|88157|13400|11197|51457,1326|8810|7155|7764,7235|0544|2837|3225|7826|8449,139|479|355,75|13|43|04
2020-05-20,XSMB,"Hà Nội",51265,51,65,3GB|15GB|14GB,76785,82841|29964,76310|82176|71258|38851|64884|75098,3205|7561|9368|9273,5959|4608|8563|6907|5342|1543,112|439|937,88|05|28|12
2020-05-21,XSMB,"Hà Nội",58738,58,38,11GA|14GA|1GA,31202,79074|29741,85771|69068|43577|06479|37601|41114,5957|4962|5763|1379,8921|8969|1051|6910|7538|0626,122|994|724,60|94|32|54
2020-05-22,XSMB,"Hà Nội",27298,27,98,1HZ|7HZ|14HZ,91982,77118|97508,77150|83797|45298|91081|28951|79440,2982|1536|4939|6112,9377|1367|8442|9625|1141|7384,826|398|337,78|93|87|66
2020-05-23,XSMB,"Hà Nội",98991,98,91,7HY|11HY|9HY,71131,17093|47125,73439|39302|99701|47115|13509|32597,2177|8176|9570|1081,6837|5584|3039|4606|0193|1302,024|784|811,71|58|81|77
2020-05-24,XSMB,"Hà Nội",81779,81,79,3HX|6HX|13HX,30531,03586|66082,93365|20748|75056|96191|55615|33595,0337|0432|8836|8514,5483|8187|8946|3350|6883|3585,382|748|714,22|57|12|19
2020-05-25,XSMB,"Hà Nội",67211,67,11,12HV|8HV|15HV,38314,77817|84447,81110|46431|87685|91275|69911|15960,7347|5053|7539|1000,7585|0343|8124|0287|0211|2441,524|953|120,99|12|78|64
2020-05-26,XSMB,"Hà Nội",29154,29,54,14HU|12HU|11HU,10231,72151|37224,37088|24661|17564|36179|90044|01748,3374|7589|7515|1394,9469|7601|6082|1709|4165|7397,051|155|510,71|50|00|61
2020-05-27,XSMB,"Hà Nội",06561,06,61,8HT|13HT|10HT,61403,18807|00310,45555|10205|66260|07051|09084|45474,9773|5356|8014|7498,4610|0043|9973|0230|1522|1164,675|187|962,48|68|91|39
2020-05-28,XSMB,"Hà Nội",09913,09,13,3HS|9HS|11HS,61778,49244|25187,59587|13034|87962|57378|13958|67787,5092|6255|3803|5219,2894|0189|4781|1763|1380|4363,492|842|213,45|10|50|71
2020-05-29,XSMB,"Hà Nội",97954,97,54,1HR|11HR|13HR,21263,33611|77358,24654|20180|22497|07318|29057|10725,8100|8878|8019|0483,3556|8519|0831|9876|8636|1866,038|598|639,17|18|73|62
